"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Log_Constants.d:6","Miejsce do spania","Un sitio donde dormir","","False","CH0_APlaceToSleep","",""
"Content/Story/Log_Constants.d:7","Spragniony strażnik","El guarda sediento","","False","CH0_OrryBeer","",""
"Content/Story/Log_Constants.d:8","Polowanie na ścierwojady","Cacería de carroñeros","","False","CH0_DraxHunt","",""
"Content/Story/Log_Constants.d:9","Poszukiwania Jorika","Buscar a Jorik","","False","CH0_FindJorik","",""
"Content/Story/Log_Constants.d:10","Sparing","Sesión de entrenamiento","","False","CH0_KirgoFight","",""
"Content/Story/Log_Constants.d:13","Powitanie Diego jest niewielką pociechą. Lawina skalna blokuje dostęp do doliny, a w pobliżu grasuje cieniostwór. Muszę znaleźć jakieś schronienie, w którym przenocuję.","La bienvenida de Diego no fue muy reconfortante. Un desprendimiento corta el paso al valle y una bestia de sombra merodea por los alrededores. Debo encontrar refugio para pasar la noche.","","False","CH0_APlaceToSleep_0","",""
"Content/Story/Log_Constants.d:15","Plac Wymian przemierza cieniostwór. Muszę znaleźć bezpieczne schronienie przed nadejściem nocy.","Una bestia de sombra merodea por la Zona de Intercambio. Debo encontrar un refugio seguro antes de que anochezca.","","False","CH0_APlaceToSleep_1","",""
"Content/Story/Log_Constants.d:16","Ratford zasugerował, bym pomógł jego przyjacielowi Draxowi w polowaniu na ścierwojady w pobliżu traktu w dolinie. To może być moja szansa na znalezienie noclegu przy ognisku.","Ratford me ha sugerido que ayude a su amigo Drax a cazar carroñeros cerca del camino del valle. Podría ser mi oportunidad de ganarme un sitio junto a su hoguera para pasar la noche.","","False","CH0_APlaceToSleep_2","",""
"Content/Story/Log_Constants.d:17","Drax potrzebuje pomocy w polowaniu na ścierwojady. Jeśli okażę się przydatny, mogę zyskać miejsce przy ich ognisku, z dala od cieniostwora.","Drax necesita ayuda cazando carroñeros. Si demuestro mi utilidad, podría ganarme un hueco junto a su hoguera, a salvo de la bestia de sombra.","","False","CH0_APlaceToSleep_3","",""
"Content/Story/Log_Constants.d:18","Jorik, członek ekipy łowców, zaginął w kanionie. Jeśli go odnajdę, być może zapewnię sobie bezpieczny nocleg.","Jorik, un miembro del grupo de cazadores, ha desaparecido en el cañón. Si lo encuentro, podría ganarme un sitio seguro donde dormir esta noche.","","False","CH0_APlaceToSleep_4","",""
"Content/Story/Log_Constants.d:19","Zasłużyłem na miejsce przy ognisku myśliwych w starym obozie Kopaczy naprzeciwko Opuszczonej Kopalni. Czas usiąść przy ognisku i odpocząć.","Me he ganado un hueco junto a la hoguera de los cazadores en el viejo campamento de cavadores al otro lado de la Mina Abandonada. Es hora de reclamar mi lugar junto al fuego y descansar un poco.","","False","CH0_APlaceToSleep_5","",""
"Content/Story/Log_Constants.d:20","Muszę znaleźć przyjaciela Draxa, Ratforda, i zapytać o Jorika, zaginionego członka ich grupy. To może być ostatnie zadanie, dzięki któremu zapewnię sobie bezpieczny nocleg.","Tengo que encontrar a Ratford, el amigo de Drax, y preguntarle por Jorik, el miembro desaparecido de su grupo. Este podría ser el último paso para ganarme un lugar seguro donde pasar la noche.","","False","CH0_APlaceToSleep_6","",""
"Content/Story/Log_Constants.d:24","Orry, Strażnik bramy, może podzielić się ze mną informacjami w zamian za piwo. W tym okrutnym miejscu nawet alkohol jest cenny. Jeśli znajdę dla niego piwo, może dowiem się, jak tutaj przetrwać.","Orry, un guarda de la puerta, podría darme información a cambio de una cerveza. En este lugar tan hostil, hasta el alcohol es valiosísimo. Si encuentro un poco, podría ayudarme a aprender a sobrevivir aquí.","","False","CH0_OrryBeer_0","",""
"Content/Story/Log_Constants.d:26","Gdzieś na Placu Wymian musi być jakieś piwo... może poszukam w miejscu, w którym przechowują dostawy z zewnątrz?","Tiene que haber cerveza en la Zona de Intercambio... ¿Tal vez donde almacenan los envíos del mundo exterior?","","False","CH0_OrryBeer_1","",""
"Content/Story/Log_Constants.d:27","Znalazłem piwo. Pora zanieść je Orry’emu, który pilnuje bramy do Placu Wymian. Ciekawe, co mi powie w zamian.","He encontrado un poco de cerveza. Tengo que llevársela a Orry, que está en la puerta de intercambio, para ver qué información me ofrece a cambio.","","False","CH0_OrryBeer_2","",""
"Content/Story/Log_Constants.d:31","Członek Nowego Obozu imieniem Jorik zaginął gdzieś w kanionie. Poszukuje go jego załoga. Jeśli znajdę Jorika, być może zapewnię sobie bezpieczny nocleg.","Un miembro del Campamento Nuevo llamado Jorik ha desaparecido en el cañón. Su grupo lo está buscando. Si encuentro a Jorik, podría ganarme un lugar seguro para pasar la noche.","","False","CH0_FindJorik_0","",""
"Content/Story/Log_Constants.d:33","Jorik zniknął gdzieś w kanionie. Jeśli go odnajdę lub dowiem się, co go spotkało, zyskam przychylność łowców i zapewnię sobie bezpieczny nocleg.","Jorik desapareció en el cañón. Si lo encuentro o averiguo qué le ha pasado, podría congraciarme con los cazadores y ganarme un lugar seguro donde dormir.","","False","CH0_FindJorik_1","",""
"Content/Story/Log_Constants.d:37","Pewien łowca z tak zwanego Nowego Obozu zaoferował pożywienie i schronienie w zamian za pomoc przy polowaniu na ścierwojady. Polowanie wydaje się mało skomplikowane, ale lepiej zachować ostrożność.","Un cazador de un lugar llamado ""Campamento Nuevo"" me ofreció comida y refugio a cambio de ayudarlo a cazar carroñeros. La cacería parece sencilla, pero debo estar atento a posibles triquiñuelas.","","False","CH0_DraxHunt_0","",""
"Content/Story/Log_Constants.d:39","Powinienem powiedzieć Draxowi, że jestem gotów na polowanie. Czeka na mnie w pobliżu wejścia do doliny.","Debería decirle a Drax que estoy listo para empezar a cazar carroñeros. Está esperando cerca de la entrada al valle.","","False","CH0_DraxHunt_1","",""
"Content/Story/Log_Constants.d:41","Zanim wyruszę na polowanie z Draxem, muszę znaleźć jakąś broń. Na pewno znajdę coś w okolicy.","Necesito un arma para cazar con Drax. Por aquí tiene que haber algo que pueda utilizar.","","False","CH0_DraxHunt_2","",""
"Content/Story/Log_Constants.d:41","Drax twierdzi, że ścierwojady nie są groźne, ale nie jestem do końca przekonany. Powinienem uważać podczas polowania.","Drax dice que los carroñeros no son muy peligrosos, pero yo no estoy tan seguro. Tendré que estar alerta durante la cacería.","","False","CH0_DraxHunt_3","",""
"Content/Story/Log_Constants.d:45","Kirgo, strażnik ze Starego Obozu i wojownik walczący na arenie, zaproponował mi sparing. To dla mnie szansa, by dowieść swojej wartości i nauczyć się cennych umiejętności walki. Jeśli się wykażę, zyskam szacunek.","Kirgo, un guarda y luchador de la arena del Campamento Viejo, me ha ofrecido un combate de entrenamiento. Es una oportunidad para demostrar de qué soy capaz y aprender valiosas habilidades de lucha. Con una buena actuación podría ganarme un poco de respeto.","","False","CH0_KirgoFight_0","",""
"Content/Story/Log_Constants.d:47","Powinienem powiedzieć Kirgo, że jestem gotowy na sparing. Czeka na mnie w pobliżu zawalonych skał i jest gotów, by sprawdzić moje zdolności.","Debería decirle a Kirgo que estoy listo para luchar. Está esperando junto al desprendimiento, deseoso de poner a prueba mis habilidades.","","False","CH0_KirgoFight_1","",""
"Content/Story/Log_Constants.d:49","Potrzebuję broni do sparingu z Kirgo. W okolicy z pewnością znajdę jakiś oręż.","Necesito un arma para entrenar con Kirgo. Por aquí tiene que haber algo que pueda utilizar.","","False","CH0_KirgoFight_2","",""
