"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_PC_Thief.d:12","To ja już pójdę.","","","","DIA_PC_Thief_Exit.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:22","To ja już pójdę.","","","","Diego-CH0-None-Hero-91268-1","",""
"Content/Story/Missions/DIA_PC_Thief.d:23","Pewnie.","","","","Diego-CH0-None-Diego-2972","",""
"Content/Story/Missions/DIA_PC_Thief.d:52","Wciąż żyjesz? Dobrze. Jestem Diego.","","","","Diego-CH0-None-Diego-35455","",""
"Content/Story/Missions/DIA_PC_Thief.d:53","Jestem Ny...","","","","Diego-CH0-None-Hero-33246","",""
"Content/Story/Missions/DIA_PC_Thief.d:54","Nikogo tu nie obchodzi twoje imię, chłopcze – chyba że dasz im ku temu powód.","","","","Diego-CH0-None-Diego-43084","",""
"Content/Story/Missions/DIA_PC_Thief.d:55","Słuchaj, zwykle to ja pokazuję świeżakom, co jest co, ale lawina odcięła nas od doliny, więc mam teraz ważniejsze sprawy na głowie.","","","","Diego-CH0-None-Diego-67833","",""
"Content/Story/Missions/DIA_PC_Thief.d:56","Nasi ludzie mają oczyścić ścieżkę, ale znając ich, zajmie im to parę dni. Znajdź sobie miejsce na obóz, bo spędzisz tu trochę czasu.","","","","Diego-CH0-None-Diego-98606","",""
"Content/Story/Missions/DIA_PC_Thief.d:57","Wszystko jasne?","","","","Diego-CH0-None-Diego-91856","",""
"Content/Story/Missions/DIA_PC_Thief.d:59","Mógłbym rozbić obóz gdzieś tutaj?","","","","DIA_PC_Thief_Hello_Info.DIA_PC_Thief_Hello.DIA_PC_Thief_About_Camp","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:60","Mogę jakoś pomóc?","","","","DIA_PC_Thief_Hello_Info.DIA_PC_Thief_Hello.DIA_PC_Thief_Hello_I_Can_Help_You","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:74","Mogę jakoś pomóc?","","","","Diego-CH0-None-Hero-76137","",""
"Content/Story/Missions/DIA_PC_Thief.d:75","Dzięki, ale nie.","","","","Diego-CH0-None-Diego-12922","",""
"Content/Story/Missions/DIA_PC_Thief.d:81","Mógłbym rozbić obóz gdzieś tutaj?","","","","Diego-CH0-None-Hero-91834","",""
"Content/Story/Missions/DIA_PC_Thief.d:82","Nie. Ten Plac Wymian należy do Starego Obozu i dopóki nie staniesz się jednym z nas, nie możesz się tutaj włóczyć po zmroku.","","","","Diego-CH0-None-Diego-20055","",""
"Content/Story/Missions/DIA_PC_Thief.d:83","Znajdź sobie jakieś dobrze osłonięte miejsce. Nasi chłopcy widzieli w pobliżu kanionu cieniostwora. Uważaj na nie. Polują w nocy.","","","","Diego-CH0-None-Diego-35601-0","",""
"Content/Story/Missions/DIA_PC_Thief.d:86","Rozumiem. Dzięki.","","","","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_I_Understand_Thanks","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:87","Czekaj. Prawdziwego cieniostwora?","","","","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_About_Shadowbeast","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:91","Mogę jakoś pomóc?","","","","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_Hello_I_Can_Help_You","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:103","Czekaj. Prawdziwego cieniostwora?","","","","Diego-CH0-None-Hero-11753","",""
"Content/Story/Missions/DIA_PC_Thief.d:104","Najprawdziwszego. To tylko jeden z wielu tutejszych stworów, które z radością by cię rozszarpały.","","","","Diego-CH0-None-Diego-26027","",""
"Content/Story/Missions/DIA_PC_Thief.d:117","Rozumiem. Dzięki.","","","","Diego-CH0-None-Hero-25858","",""
"Content/Story/Missions/DIA_PC_Thief.d:118","Jasne.","","","","Diego-CH0-None-Diego-3476","",""
"Content/Story/Missions/DIA_PC_Thief.d:121","Witamy w Kolonii.","","","","Diego-CH0-None-Diego-73935","",""
"Content/Story/Missions/DIA_PC_Thief.d:160","O co chodzi?","","","","Diego-CH0-None-Diego-24707","",""
"Content/Story/Missions/DIA_PC_Thief.d:170","Co do tej... bariery. Naprawdę nie da się przez nią przejść, gdy już się tu wyląduje?","","","","DIA_PC_Thief_About_Barrier.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:183","Co do tej... bariery. Naprawdę nie da się przez nią przejść, gdy już się tu wyląduje?","","","","Diego-CH0-None-Hero-91769","",""
"Content/Story/Missions/DIA_PC_Thief.d:185","Da się. Kiedy tylko zechcesz.","","","","Diego-CH0-None-Diego-51663","",""
"Content/Story/Missions/DIA_PC_Thief.d:186","Ale...?","","","","Diego-CH0-None-Hero-43033","",""
"Content/Story/Missions/DIA_PC_Thief.d:186","Ale oberwiesz w dupsko błyskawicą tak paskudną, że nawet sępy nie będą chciały zeżreć tego, co z ciebie zostanie.","","","","Diego-CH0-None-Diego-5080","",""
"Content/Story/Missions/DIA_PC_Thief.d:202","Czym się właściwie zajmujesz? Jesteś po stronie zarządców Kolonii?","","","","DIA_PC_Thief_Whats_Is_Your_Business.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:213","Czym się właściwie zajmujesz? Jesteś po stronie zarządców Kolonii?","","","","Diego-CH0-None-Hero-90410","",""
"Content/Story/Missions/DIA_PC_Thief.d:214","Jeśli masz na myśli Stary Obóz, to tak – choć jestem tylko Cieniem.","","","","Diego-CH0-None-Diego-94012","",""
"Content/Story/Missions/DIA_PC_Thief.d:215","„Cieniem”?","","","","Diego-CH0-None-Hero-55986","",""
"Content/Story/Missions/DIA_PC_Thief.d:215","Tak. Można powiedzieć, że jesteśmy w obozie specami od wszystkiego. Niedługo załapiesz.","","","","Diego-CH0-None-Diego-3860","",""
"Content/Story/Missions/DIA_PC_Thief.d:233","Czyli ten cały Stary Obóz to główna osada w Kolonii?","","","","DIA_PC_Thief_About_Old_Camp.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:242","Czyli ten cały Stary Obóz to główna osada w Kolonii?","","","","Diego-CH0-None-Hero-29785","",""
"Content/Story/Missions/DIA_PC_Thief.d:242","Na pewno jest najstarsza. Nasz przywódca, Gomez, i jego ludzie założyli ją zaraz po buncie. Zbudowano ją wokół zamku, w którym kiedyś mieszkali strażnicy więzienni.","","","","Diego-CH0-None-Diego-38850","",""
"Content/Story/Missions/DIA_PC_Thief.d:245","Ale są jeszcze inne?","","","","Diego-CH0-None-Hero-10718","",""
"Content/Story/Missions/DIA_PC_Thief.d:246","Czemu pytasz?","","","","Diego-CH0-None-Diego-48329","",""
"Content/Story/Missions/DIA_PC_Thief.d:247","Z ciekawości.","","","","Diego-CH0-None-Hero-26492","",""
"Content/Story/Missions/DIA_PC_Thief.d:250","Będziesz się musiał sam przekonać.","","","","Diego-CH0-None-Diego-90638","",""
"Content/Story/Missions/DIA_PC_Thief.d:268","A ty jak tu trafiłeś?","","","","DIA_PC_Thief_How_Did_You_Get_Here.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:273","A ty jak tu trafiłeś?","","","","Diego-CH0-None-Hero-58079","",""
"Content/Story/Missions/DIA_PC_Thief.d:274","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","","","","Diego-CH0-None-Diego-7105","",""
"Content/Story/Missions/DIA_PC_Thief.d:275","To znaczy...?","","","","Diego-CH0-None-Hero-81111","",""
"Content/Story/Missions/DIA_PC_Thief.d:279","Że znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","","","","Diego-CH0-None-Diego-45278","",""
"Content/Story/Missions/DIA_PC_Thief.d:299","Gdzie znajdę jakąś broń?","","","","DIA_PC_Thief_About_Weapon.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:302","Gdzie znajdę jakąś broń?","","","","Diego-CH0-None-Hero-36443","",""
"Content/Story/Missions/DIA_PC_Thief.d:305","Nie tutaj – to teren Starego Obozu. Rozejrzyj się po kanionie, na pewno coś znajdziesz. Nawet jeśli będzie to tylko zardzewiały kilof.","","","","Diego-CH0-None-Diego-67611","",""
"Content/Story/Missions/DIA_PC_Thief.d:326","Słuchaj, POZWOLISZ mi się tu przespać.","","","","DIA_PC_Thief_You_Let_Me_Sleep_Here.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:331","Słuchaj, POZWOLISZ mi się tu przespać.","","","","Diego-CH0-None-Hero-31895","",""
"Content/Story/Missions/DIA_PC_Thief.d:331","Uważaj, chłopcze. Na pewno chcesz się tak bawić?","","","","Diego-CH0-None-Diego-68146","",""
"Content/Story/Missions/DIA_PC_Thief.d:335","Tylko żartowałem.","","","","DIA_PC_Thief_You_Let_Me_Sleep_Here_Info.DIA_PC_Thief_You_Let_Me_Sleep_Here.DIA_PC_Thief_This_Is_A_Joke","AI_AddChoice",""
