"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_818_Ratford.d:27","A kim ty niby jesteś, na Beliara?","A kdo jsi ty u Beliara?","","True","Ratford-CH0-None-Ratford-64245-1","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:30","Jestem Nyr...","Jsem Nyr...","","True","Ratford-CH0-None-Hero-87298","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:31","Nie o imię pytam. Nie wyglądasz mi na członka któregoś obozu. To co, jesteś kopaczem? A może dopiero co cię wrzucili?","Ne, jak se říkáš, k komu patříš. Nevypadáš jako jeden z ostatních táborů - jsi kopáč, nebo jsi čerstvě sem hoden?","","True","Ratford-CH0-None-Ratford-66784","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:35","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","Jsem nový, ano. Tvůj kámoš Drax mě poslal, abych ti pomohl - v oplátku za místo na nocleh ve tvém táboře.","","True","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Help","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:40","Dopiero mnie tu wrzucili. Szukam bezpiecznego miejsca na nocleg.","Jsem tady nový, ano. Hledám bezpečné místo, kde bych mohl spát.","","True","DIA_ORG_818_Ratford_Hello_Info.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_About_Sleep_Place","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:48","Tak, jestem nowy. Drax, przysłał mnie do ciebie, mam pomóc w zamian za nocleg w waszym obozie.","Jsem nový, ano. Tvůj kámoš Drax mě poslal, abych ti pomohl - v oplátku za místo na nocleh ve tvém táboře.","","True","Ratford-CH0-None-Hero-42595","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:49","Czyżby? Nie potrzebuję pomocy, zwłaszcza od takiej pizdy jak ty, a już na pewno nie pozwolę obcemu spać przy naszym ognisku. Zabieraj się stąd. W podskokach.","Vážně? Nepotřebuju žádnou pomoc, a to od tebe. A určitě nedovolím, aby nějaký cizinec spal u našeho zatraceného ohně. Teď se ztrať.","","True","Ratford-CH0-None-Ratford-50882","",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:51","Jak chcesz.","Když to říkáš.","","False","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_If_You_Think_So","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:52","Zamknij już kurwa ten ryj.","Už to bude!","","True","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Fuck_You","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:53","Mogę cię jakoś przekonać?","Můžu tě nějak přesvědčit?","","True","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_Can_I_Convince_You_Somehow","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:54","Ale przecież się z nim dogadałem.","Dohodl jsem se s tvým přítelem.","","True","DIA_ORG_818_Ratford_Hello_About_Help.DIA_ORG_818_Ratford_Hello.DIA_ORG_818_Ratford_Hello_But_I_Talked_To_Drax","AI_AddChoice",""
"Content/Story/Missions/DIA_ORG_818_Ratford.d:62","Ale przecież się z nim dogadałem.","Dohodl jsem se s tvým přítelem.","","True","Ratford-CH0-None-Hero-30527","",""
