"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"System/MENU/Menu_Defines.d:135","Tak","是","","False","MENU_YES","",""
"System/MENU/Menu_Defines.d:136","Nie","不","","False","MENU_NO","",""
"System/MENU/Menu_Defines.d:137","nie|tak","否|是","","False","MENU_NOYES","",""
"System/MENU/Menu_Defines.d:138","wył.|wł.","关|开","","False","MENU_OFFON","",""
"System/MENU/Menu_Defines.d:140","DEL - usuwa, ENTER - przypisuje klawisz.","按 Ｄ Ｅ Ｌ 键 清 空 栏 位 ， 按 Ｅ ｎ ｔ ｅ ｒ 进 行 设 定。","","False","MENU_KEY_CONFIRM","",""
"System/MENU/Menu_Defines.d:141","Naciśnij żądany klawisz.","请按此动作所需要的键。","","False","MENY_KEY_PRESS_GIVEN","",""
"System/MENU/Menu_Defines.d:143","Nowa gra","新的游戏","","False","MENU_MAIN_NEW_TITLE","",""
"System/MENU/Menu_Defines.d:144","Rozpocznij nową przygodę.","开始新的冒险。","","False","MENU_MAIN_NEW_TEXT","",""
"System/MENU/Menu_Defines.d:146","Wczytaj","加载游戏","","False","MENU_MAIN_LOAD_TITLE","",""
"System/MENU/Menu_Defines.d:147","Wczytaj zapisaną grę.","加载当前游戏。","","False","MENU_MAIN_LOAD_TEXT","",""
"System/MENU/Menu_Defines.d:152","Zapisz","保存游戏","","False","MENU_MAIN_SAVE_TITLE","",""
"System/MENU/Menu_Defines.d:153","Zapisz bieżącą grę.","保存当前游戏。","","False","MENU_MAIN_SAVE_TEXT","",""
"System/MENU/Menu_Defines.d:155","Kontynuuj","继续","","False","MENU_MAIN_RESUME_TITLE","",""
"System/MENU/Menu_Defines.d:156","Powrót do gry.","继续当前游戏。","","False","MENU_MAIN_RESUME_TEXT","",""
"System/MENU/Menu_Defines.d:158","Ustawienia","选项","","False","MENU_MAIN_OPTS_TITLE","",""
"System/MENU/Menu_Defines.d:159","Ustawienia dźwięku, grafiki i klawiatury.","声音、图形和键盘设置。","","False","MENU_MAIN_OPTS_TEXT","",""
