"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:27","Proszę, proszę. Nowa twarz. Dopiero co cię wrzucili?","Na sieh mal an, ein neues Gesicht. Haben sie dich gerade reingeworfen?  ","","","Kirgo-CH0-None-Kirgo-13159","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:29","Nie twój interes.","Das geht dich nichts an.","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Not_Your_Business","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:30","Tak.","Ja.","","False","DIA_GRD_251_Kirgo_Hello_Info.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Yes","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:37","Tak.","Ja, haben sie.","","","Kirgo-CH0-None-Hero-61590","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:38","No to witaj w Kolonii. Jak ci na imię? Mnie nazywają Kirgo.","Na dann: Willkommen in der Kolonie. Wie heißt du? Ich bin Kirgo. ","","","Kirgo-CH0-None-Kirgo-72322","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:39","Nyras.","Nyras.","","","Kirgo-CH0-None-Hero-54970","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:40","Miło poznać. Może chwilę porozmawiamy? Powiedz mi, jak się sprawy mają na zewnątrz, a ja zdradzę ci parę rzeczy, które ułatwią ci przeżycie w tej dziurze.","Freut mich. He, wie wärs? Du erzählst mir was von der Außenwelt, und ich gebe dir ein paar Tipps, wie du hier drinnen am Leben bleibst.","","","Kirgo-CH0-None-Kirgo-53995","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:41","Cały dzień przerzucam ten cholerny gruz. Chciałbym się na chwilę od tego oderwać... To jak, pogadamy?","Ich schaufel den ganzen Tag schon Steine weg, und hätte echt nichts gegen ein bisschen Abwechslung. Was sagst du?","","","Kirgo-CH0-None-Kirgo-48505","",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:47","Nie mam na to czasu.","Ich habe keine Zeit für sowas.","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_No_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_251_Kirgo.d:48","No trudno.","In Ordnung.","","False","DIA_GRD_251_Kirgo_Hello_Yes.DIA_GRD_251_Kirgo_Hello.DIA_GRD_251_Kirgo_Hello_Too_Bad","AI_AddChoice",""
