"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Items/Armor.d:51","Lekkie spodnie Kopacza","Leichte Buddlerhose","","False","VLK_ARMOR_L.name","",""
"Content/Items/Armor.d:83","Spodnie Kopacza","Buddlerhose","","False","VLK_ARMOR_M.name","",""
"Content/Items/Armor.d:117","Strój Cienia","Schattenkluft","","False","STT_ARMOR_M.name","",""
"Content/Items/Armor.d:149","Zbroja Cienia","Schattenrüstung","","False","STT_ARMOR_H.name","",""
"Content/Items/Armor.d:183","Lekka zbroja Strażnika","Leichte Garderüstung","","False","GRD_ARMOR_L.name","",""
"Content/Items/Armor.d:215","Zbroja Strażnika","Garderüstung","","False","GRD_ARMOR_M.name","",""
"Content/Items/Armor.d:247","Ciężka zbroja Strażnika","Schwere Garderüstung","","False","GRD_ARMOR_H.name","",""
"Content/Items/Armor.d:281","Ozdobna szata","Prunkgewand","","False","EBR_ARMOR_M.name","",""
"Content/Items/Armor.d:315","Pancerz Gomeza","Gomez'Rüstung","","False","EBR_ARMOR_H.name","",""
"Content/Items/Armor.d:350","Ciężki pancerz Magnata","Schwere Erzbaronrüstung","","False","EBR_ARMOR_H2.name","",""
"Content/Items/Armor.d:390","Strój Kopacza","Schürferklamotten","","False","SFB_ARMOR_L.name","",""
"Content/Items/Armor.d:424","Lekki strój Szkodnika","Leichte Banditenkleidung","","False","ORG_ARMOR_L.name","",""
"Content/Items/Armor.d:456","Strój Szkodnika","Mittlere Banditenkleidung","","False","ORG_ARMOR_M.name","",""
"Content/Items/Armor.d:488","Ciężki strój Szkodnika","Schwere Banditenkleidung","","False","ORG_ARMOR_H.name","",""
"Content/Items/Armor.d:520","Lekka zbroja Najemnika","leichte Söldnerrüstung","","False","SLD_ARMOR_L.name","",""
"Content/Items/Armor.d:552","Zbroja Najemnika","Söldnerrüstung","","False","SLD_ARMOR_M.name","",""
"Content/Items/Armor.d:584","Ciężka zbroja Najemnika","Schwere Söldnerrüstung","","False","SLD_ARMOR_H.name","",""
"Content/Items/Armor.d:623","Przepaska Nowicjusza","Novizen Rock","","False","NOV_ARMOR_L.name","",""
