"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_PC_Thief.d:12","To ja już pójdę.","","","","DIA_PC_Thief_Exit.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:22","To ja już pójdę.","Ich gehe dann mal...","","","Diego-CH0-None-Hero-91268-1","",""
"Content/Story/Missions/DIA_PC_Thief.d:23","Pewnie.","Sicher.","","","Diego-CH0-None-Diego-2972","",""
"Content/Story/Missions/DIA_PC_Thief.d:52","Wciąż żyjesz? Dobrze. Jestem Diego.","Ah, du lebst noch. Gut. Ich bin Diego.","","","Diego-CH0-None-Diego-35455","",""
"Content/Story/Missions/DIA_PC_Thief.d:53","Jestem Ny...","Ich bin Nyra- ","","","Diego-CH0-None-Hero-33246","",""
"Content/Story/Missions/DIA_PC_Thief.d:54","Nikogo tu nie obchodzi twoje imię, chłopcze – chyba że dasz im ku temu powód.","Niemand hier drin interessiert sich dafür, wer du bist - es sei denn du gibst ihm einen guten Grund.","","","Diego-CH0-None-Diego-43084","",""
"Content/Story/Missions/DIA_PC_Thief.d:55","Słuchaj, zwykle to ja pokazuję świeżakom, co jest co, ale lawina odcięła nas od doliny, więc mam teraz ważniejsze sprawy na głowie.","Pass auf, für gewöhnlich zeige ich den Neuen wo es langgeht, aber ein Erdrutsch hat uns vom Tal abgeschnitten, also habe ich gerade andere Sachen im Kopf.","","","Diego-CH0-None-Diego-67833","",""
"Content/Story/Missions/DIA_PC_Thief.d:56","Nasi ludzie mają oczyścić ścieżkę, ale znając ich, zajmie im to parę dni. Znajdź sobie miejsce na obóz, bo spędzisz tu trochę czasu.","Unsere Jungs werden das wegräumen, aber das kann dauern, also schlage ich vor, du suchst dir erstmal einen Schlafplatz.","","","Diego-CH0-None-Diego-98606","",""
"Content/Story/Missions/DIA_PC_Thief.d:57","Wszystko jasne?","Alles klar?","","","Diego-CH0-None-Diego-91856","",""
"Content/Story/Missions/DIA_PC_Thief.d:59","Mógłbym rozbić obóz gdzieś tutaj?","","","","DIA_PC_Thief_Hello_Info.DIA_PC_Thief_Hello.DIA_PC_Thief_About_Camp","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:60","Mogę jakoś pomóc?","","","","DIA_PC_Thief_Hello_Info.DIA_PC_Thief_Hello.DIA_PC_Thief_Hello_I_Can_Help_You","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:74","Mogę jakoś pomóc?","Kann ich euch irgendwie helfen?","","","Diego-CH0-None-Hero-76137","",""
"Content/Story/Missions/DIA_PC_Thief.d:75","Dzięki, ale nie.","Du? Nein. ","","","Diego-CH0-None-Diego-12922","",""
"Content/Story/Missions/DIA_PC_Thief.d:81","Mógłbym rozbić obóz gdzieś tutaj?","Wo kann ich schlafen? Irgendwo hier?","","","Diego-CH0-None-Hero-91834","",""
"Content/Story/Missions/DIA_PC_Thief.d:82","Nie. Ten Plac Wymian należy do Starego Obozu i dopóki nie staniesz się jednym z nas, nie możesz się tutaj włóczyć po zmroku.","Nein. Der Bereich hier gehört zum alten Lager und solange du keiner von uns bist, hast du hier nachts nichts verloren. ","","","Diego-CH0-None-Diego-20055","",""
"Content/Story/Missions/DIA_PC_Thief.d:83","Znajdź sobie jakieś dobrze osłonięte miejsce. Nasi chłopcy widzieli w pobliżu kanionu cieniostwora. Uważaj na nie. Polują w nocy.","Such dir einen anderen Platz. Aber einen sicheren - unsere Jungs haben in der Nähe einen Schattenläufer gesehen und die jagen wenns dunkel ist. ","","","Diego-CH0-None-Diego-35601-0","",""
"Content/Story/Missions/DIA_PC_Thief.d:86","Rozumiem. Dzięki.","","","","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_I_Understand_Thanks","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:87","Czekaj. Prawdziwego cieniostwora?","","","","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_About_Shadowbeast","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:91","Mogę jakoś pomóc?","","","","DIA_PC_Thief_About_Camp.DIA_PC_Thief_Hello.DIA_PC_Thief_Hello_I_Can_Help_You","AI_AddChoice",""
"Content/Story/Missions/DIA_PC_Thief.d:103","Czekaj. Prawdziwego cieniostwora?","Hier gibts Schattenläufer? Wirklich?","","","Diego-CH0-None-Hero-11753","",""
"Content/Story/Missions/DIA_PC_Thief.d:104","Najprawdziwszego. To tylko jeden z wielu tutejszych stworów, które z radością by cię rozszarpały.","Oh ja. Und glaub mir, die Viecher reißen dich in Stücke. ","","","Diego-CH0-None-Diego-26027","",""
"Content/Story/Missions/DIA_PC_Thief.d:117","Rozumiem. Dzięki.","Alles klar, danke.","","","Diego-CH0-None-Hero-25858","",""
"Content/Story/Missions/DIA_PC_Thief.d:118","Jasne.","Kein Ding. ","","","Diego-CH0-None-Diego-3476","",""
"Content/Story/Missions/DIA_PC_Thief.d:121","Witamy w Kolonii.","Willkommen in der Kolonie. ","","","Diego-CH0-None-Diego-73935","",""
"Content/Story/Missions/DIA_PC_Thief.d:160","O co chodzi?","Was willst du?","","","Diego-CH0-None-Diego-24707","",""
"Content/Story/Missions/DIA_PC_Thief.d:170","Co do tej... bariery. Naprawdę nie da się przez nią przejść, gdy już się tu wyląduje?","","","","DIA_PC_Thief_About_Barrier.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:183","Co do tej... bariery. Naprawdę nie da się przez nią przejść, gdy już się tu wyląduje?","Wegen dieser ... Barriere. Kommt man wirklich nie wieder raus wenn man erstmal drinnen ist?","","","Diego-CH0-None-Hero-91769","",""
"Content/Story/Missions/DIA_PC_Thief.d:185","Da się. Kiedy tylko zechcesz.","Oh, du KANNST wieder raus. Jederzeit.","","","Diego-CH0-None-Diego-51663","",""
"Content/Story/Missions/DIA_PC_Thief.d:186","Ale...?","Aber?","","","Diego-CH0-None-Hero-43033","",""
"Content/Story/Missions/DIA_PC_Thief.d:186","Ale oberwiesz w dupsko błyskawicą tak paskudną, że nawet sępy nie będą chciały zeżreć tego, co z ciebie zostanie.","Aber sie wird dir einen so heftigen Blitz in den Arsch jagen, dass keine Überreste für die Geier bleiben.","","","Diego-CH0-None-Diego-5080","",""
"Content/Story/Missions/DIA_PC_Thief.d:202","Czym się właściwie zajmujesz? Jesteś po stronie zarządców Kolonii?","","","","DIA_PC_Thief_Whats_Is_Your_Business.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:213","Czym się właściwie zajmujesz? Jesteś po stronie zarządców Kolonii?","Wer genau bist du? Gehörst du zu den Typen, die die Kolonie kontrollieren? ","","","Diego-CH0-None-Hero-90410","",""
"Content/Story/Missions/DIA_PC_Thief.d:214","Jeśli masz na myśli Stary Obóz, to tak – choć jestem tylko Cieniem.","Wenn du das alte Lager meinst, ja. Wobei ich nur einer der Schatten bin. ","","","Diego-CH0-None-Diego-94012","",""
"Content/Story/Missions/DIA_PC_Thief.d:215","„Cieniem”?","""Schatten?""","","","Diego-CH0-None-Hero-55986","",""
"Content/Story/Missions/DIA_PC_Thief.d:215","Tak. Można powiedzieć, że jesteśmy w obozie specami od wszystkiego. Niedługo załapiesz.","Ja. Wir sind die Alleskönner, könnte man sagen. Aber das wirst du mit der Zeit verstehen.","","","Diego-CH0-None-Diego-3860","",""
"Content/Story/Missions/DIA_PC_Thief.d:233","Czyli ten cały Stary Obóz to główna osada w Kolonii?","","","","DIA_PC_Thief_About_Old_Camp.description","",""
