"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_ORG_819_Drax.d:33","Chwileczkę. To ciebie właśnie do nas wrzucili, prawda? Nie musisz nic mówić, już wiem.","Warte mal. Du bist der Kerl den sie grad reingeworfen haben, stimmts? Nein, sag nichts, ich seh das.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-89011","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:34","Masz wypisane na gębie pytanie: „W co ja się, kurwa, wpakowałem?”","""Du hast einfach diesen ""Verdammte Scheiße, wo bin ich hier gelandet?"" Ausdruck im Gesicht. ","","","Drax-CH0-G1RDemo_DraxHunt-Drax-20861","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:35","Pewnie już wiesz, że tu utknęliśmy?","Ich schätze du weißt, dass wir hier feststecken?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-10911","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:40","Tak, jestem tu nowy, ale przysyła mnie twój kumpel, Ratford.","Ich bin neu hier, ja. Tatsächlich schickt mich aber dein Freund Ratford.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-9657","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:41","Powiedział, że mogę u was przenocować, ale kazał pomóc w polowaniu.","Er meinte, ich kann in eurem Lager schlafen, und dass ich dir jagen helfen soll.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-46836","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:42","Rat? I co? Znalazł Jorika?","Rats? Wirklich? Heißt das, er hat Jorik gefunden?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-58516","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:43","Tak, nie żyje.","Jorik is tot.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-8890","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:44","Rozumiem. Szkoda, ale jakoś mnie to nie dziwi.","Verstehe. Schade, aber nicht überraschend.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-97866","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:45","Czyli chcesz mi pomóc w polowaniu... Miło z twojej strony. Dobra, czemu nie. Do dzieła.","Und du sollst mir also jagen helfen ... wie umsichtig von Rats. ","","","Drax-CH0-G1RDemo_DraxHunt-Drax-26302","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:53","Tak, szukam bezpiecznego miejsca na nocleg. Podobno łazi tu jakiś cieniostwór.","Ja, ich suche einen sicheren Schlafplatz - angeblich soll hier ein Schattenläufer in der Gegend sein.","","","Drax-CH0-G1RDemo_DraxHunt-Hero-43176","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:54","To prawda. Też go widzieliśmy. Wielki skurwysyn.","Hier IST einer. Wir haben ihn auch gesehen... Ein großes, böses Vieh.  ","","","Drax-CH0-G1RDemo_DraxHunt-Drax-70619","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:55","Co powiesz na układ? Pomożesz mi upolować to stado ścierwojadów, a my podzielimy się z tobą jadłem i będziesz mógł się przespać przy naszym ognisku.","Hmm ... weißt du was? Hilf mir doch die Scavenger hier zu erlegen, und im Gegenzug teilen wir das Essen und du kannst an unserem Feuer schlafen.","","","Drax-CH0-G1RDemo_DraxHunt-Drax-49351","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:56","Jest w starym obozie górniczym naprzeciwko zalanej kopalni. Nieźle osłonięte miejsce. Co ty na to?","Wir sind in dem alten Buddlerlager gegenüber von der überfluteten Mine, und es ist gut geschützt. Wie wärs?","","","Drax-CH0-G1RDemo_DraxHunt-Drax-43533","",""
"Content/Story/Missions/DIA_ORG_819_Drax.d:58","Nie jestem zainteresowany.","","","","DIA_ORG_819_Drax_Hello_Info.DIA_ORG_819_Drax_Hello.DIA_ORG_819_Drax_Hello_No","AI_AddChoice",""
