"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_GRD_254_Orry.d:12","To ja już pójdę.","Já už půjdu.","","False","DIA_GRD_254_Orry_Exit.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:22","To ja już pójdę.","Já už půjdu.","","False","Orry-CH0-None-Hero-73692","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:23","Jasne. Powodzenia, żółtodziobie!","Jasně. Hodně štěstí, nováčku.","","False","Orry-CH0-None-Orry-52966","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:51","Świeżak, co? Nie wiedziałem, że kogoś wrzucają. Miałeś szczęście.","Jsi tady novej, co? Nevěděl jsem, že dneska někdo hodí dovnitř. Měl jsi štěstí.","","False","Orry-CH0-None-Orry-35350","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:52","Dlaczego?","Proč?","","False","Orry-CH0-None-Hero-62484","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:53","Gdyby nie lawina skalna, kilku z naszych z pewnością wyszłoby ci na powitanie.","Kdyby nebylo toho sesuvu, pár chlapů by tě už přišlo přivítat.","","False","Orry-CH0-None-Orry-81876","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:54","Obiliby ci ryj zawodowo.","A s pořádným výpraskem.","","False","Orry-CH0-None-Orry-50913","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:55","W każdym razie, jeśli zmierzasz do doliny, musisz poczekać, aż oczyszczą drogę. Wspinaczka po urwisku...","Jestli chceš do údolí, musíš počkat. Skála...","","False","Orry-CH0-None-Orry-3202","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:56","Jest zbyt niebezpieczna. Wiem. Diego mi powiedział.","je příliš strmá, abych po ní slezl. Jasně. Diego už to říkal.","","False","Orry-CH0-None-Hero-17889","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:57","To dobrze. Teraz jeszcze znajdź sobie jeszcze miejsce do spania.","Dobrá. Tak to by sis raději měl najít místo na spaní.","","False","Orry-CH0-None-Orry-90220","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:70","A ty co zrobiłeś? Dlaczego cię tu wtrącili?","Co jsi provedl? Proč tě sem hodili?","","False","DIA_GRD_254_Orry_What_Did_You_Do.description","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:84","A ty co zrobiłeś? Dlaczego cię tu wtrącili?","Co jsi provedl? Proč tě sem hodili?","","False","Orry-CH0-None-Hero-93802","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:85","Mnie? Nie zrobiłem nic szczególnego.","Co, mě? No, nic, o čem bych mohl psát písničky.","","False","Orry-CH0-None-Orry-34664","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:86","Skończyły mi się fundusze, wpadłem w złe towarzystwo, a potem napatoczyłem się na straże, kiedy akurat kogoś obrobiłem.","Byl jsem zbankrotovaný, dostal jsem se do špatné společnosti a potom hned do ruhou stráží po to, co jsem někoho okradl.","","False","Orry-CH0-None-Orry-1321","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:87","Szast-prast i jestem tutaj. A ty?","A teď jsem tady... a co ty?","","False","Orry-CH0-None-Orry-45461","",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:89","Nie chcę o tym gadać.","Nechci o tom mluvit.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_No_More_About_It","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:93","Znalazłem się w niewłaściwym miejscu o niewłaściwym czasie.","Byl jsem na špatném místě ve špatnou dobu.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_Wrong_Place_And_Time","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:96","Zabiłem człowieka.","Někoho jsem zabil.","","False","DIA_GRD_254_Orry_What_Did_You_Do_Info.DIA_GRD_254_Orry_What_Did_You_Do.DIA_GRD_254_Orry_What_Did_You_Do_I_Killed_Someone","AI_AddChoice",""
"Content/Story/Missions/DIA_GRD_254_Orry.d:104","Zabiłem człowieka.","Někoho jsem zabil.","","False","Orry-CH0-None-Caption-85953-0","",""
