"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Missions/DIA_PC_Thief.d:12","To ja już pójdę.","那我走了。","","False","DIA_PC_Thief_Exit.description","",""
"Content/Story/Missions/DIA_PC_Thief.d:22","To ja już pójdę.","那我走了。","","","Diego-CH0-None-Hero-91268-1","",""
"Content/Story/Missions/DIA_PC_Thief.d:23","Pewnie.","好。","","","Diego-CH0-None-Diego-2972","",""
"Content/Story/Missions/DIA_PC_Thief.d:52","Wciąż żyjesz? Dobrze. Jestem Diego.","还活着呢？那就好。我是迪亚哥。","","","Diego-CH0-None-Diego-35455","",""
"Content/Story/Missions/DIA_PC_Thief.d:53","Jestem Ny...","我是尼—— ","","","Diego-CH0-None-Hero-33246","",""
"Content/Story/Missions/DIA_PC_Thief.d:54","Nikogo tu nie obchodzi twoje imię, chłopcze – chyba że dasz im ku temu powód.","这儿没人在乎你叫什么，小伙子——除非你能给他们一个在乎你的理由。 ","","","Diego-CH0-None-Diego-43084","",""
"Content/Story/Missions/DIA_PC_Thief.d:55","Słuchaj, zwykle to ja pokazuję świeżakom, co jest co, ale lawina odcięła nas od doliny, więc mam teraz ważniejsze sprawy na głowie.","通常都是由我来给“新鲜血液”介绍情况，但是一场山体滑坡切断了我们与山谷之间的通路，所以我现在有别的事要忙。","","","Diego-CH0-None-Diego-67833","",""
"Content/Story/Missions/DIA_PC_Thief.d:56","Nasi ludzie mają oczyścić ścieżkę, ale znając ich, zajmie im to parę dni. Znajdź sobie miejsce na obóz, bo spędzisz tu trochę czasu.","我们的人正在赶往这里来清理道路，但按我对这帮人的了解，他们还得花上几天时间，所以你应该先给自己找个地方扎营。 ","","","Diego-CH0-None-Diego-98606","",""
"Content/Story/Missions/DIA_PC_Thief.d:57","Wszystko jasne?","听明白了吗？","","","Diego-CH0-None-Diego-91856","",""
"Content/Story/Missions/DIA_PC_Thief.d:59","Mógłbym rozbić obóz gdzieś tutaj?","我在哪里扎营？在这附近可以吗？","","False","DIA_PC_Thief_Hello_Info.DIA_PC_Thief_Hello.DIA_PC_Thief_About_Camp","AI_AddChoice",""
